fastq.file.sample.name	raw_snps_file.original.name	raw_snps.file.change.name	v2_kept	v2_newnames	v5.1_kept
NA	29409_ID656_CH-BP-05-01_mapped_initial_q10_FM_clean_markdup.g	CH-BP-05-01	CH-BP-05-01	CH_BP_05_01	CH_BP_05_01
NA	29410_ID656_DE-BP-10-13_mapped_initial_q10_FM_clean_markdup.g	DE-BP-10-13	DE-BP-10-13	DE_BP_10_13	DE_BP_10_13
NA	29411_ID656_GB-BP-14-27_mapped_initial_q10_FM_clean_markdup.g	GB-BP-14-27	GB-BP-14-27	GB_BP_14_27	GB_BP_14_27
NA	29412_ID656_NO-BP-15-06_mapped_initial_q10_FM_clean_markdup.g	NO-BP-15-06	NO-BP-15-06	NO_BP_15_06	NO_BP_15_06
NA	29413_ID656_IT-BP-08-02_mapped_initial_q10_FM_clean_markdup.g	IT-BP-08-02	IT-BP-08-02	IT_BP_08_02	IT_BP_08_02
NA	29414_ID656_LT-BP-12-14_mapped_initial_q10_FM_clean_markdup.g	LT-BP-12-14	LT-BP-12-14	LT_BP_12_14	LT_BP_12_14
NA	29415_ID656_FI-BP-19-22_mapped_initial_q10_FM_clean_markdup.g	FI-BP-19-22	FI-BP-19-22	FI_BP_19_22	FI_BP_19_22
NA	29416_ID656_FR-BP-03-23_mapped_initial_q10_FM_clean_markdup.g	FR-BP-03-23	FR-BP-03-23	FR_BP_03_23	FR_BP_03_23
NA	29417_ID656_SE-BP-18-13_mapped_initial_q10_FM_clean_markdup.g	SE-BP-18-13	SE-BP-18-13	SE_BP_18_13	SE_BP_18_13
NA	29418_ID656_FR-BP-03-03_mapped_initial_q10_FM_clean_markdup.g	FR-BP-03-03	FR-BP-03-03	FR_BP_03_03	FR_BP_03_03
NA	29419_ID656_CH-BP-06-23_mapped_initial_q10_FM_clean_markdup.g	CH-BP-06-23	CH-BP-06-23	CH_BP_06_23	CH_BP_06_23
NA	29420_ID656_FR-BP-21-10_mapped_initial_q10_FM_clean_markdup.g	FR-BP-21-10	FR-BP-21-10	FR_BP_21_10	FR_BP_21_10
NA	29421_ID656_YT-1045_mapped_initial_q10_FM_clean_markdup.g	YT-1045	NA	NA	NA
NA	29422_ID656_FR-BP-21-17_mapped_initial_q10_FM_clean_markdup.g	FR-BP-21-17	FR-BP-21-17	FR_BP_21_17	FR_BP_21_17
NA	29423_ID656_YT-870_mapped_initial_q10_FM_clean_markdup.g	YT-870	NA	NA	NA
NA	29424_ID656_GB-BP-14-22_mapped_initial_q10_FM_clean_markdup.g	GB-BP-14-22	GB-BP-14-22	GB_BP_14_22	GB_BP_14_22
NA	29425_ID656_FI-BP-20-05_mapped_initial_q10_FM_clean_markdup.g	FI-BP-20-05	NA	NA	NA
NA	29426_ID656_GB-BP-13-21_mapped_initial_q10_FM_clean_markdup.g	GB-BP-13-21	GB-BP-13-21	GB_BP_13_21	GB_BP_13_21
NA	29427_ID656_GB-BP-14-17_mapped_initial_q10_FM_clean_markdup.g	GB-BP-14-17	GB-BP-14-17	GB_BP_14_17	GB_BP_14_17
NA	29428_ID656_CH-BP-06-21_mapped_initial_q10_FM_clean_markdup.g	CH-BP-06-21	CH-BP-06-21	CH_BP_06_21	CH_BP_06_21
NA	29429_ID656_DE-BP-10-01_mapped_initial_q10_FM_clean_markdup.g	DE-BP-10-01	DE-BP-10-01	DE_BP_10_01	DE_BP_10_01
NA	29430_ID656_GB-BP-13-03_mapped_initial_q10_FM_clean_markdup.g	GB-BP-13-03	GB-BP-13-03	GB_BP_13_03	GB_BP_13_03
NA	29431_ID656_IT-BP-08-14_mapped_initial_q10_FM_clean_markdup.g	IT-BP-08-14	IT-BP-08-14	IT_BP_08_14	IT_BP_08_14
NA	29432_ID656_NO-BP-15-02_mapped_initial_q10_FM_clean_markdup.g	NO-BP-15-02	NO-BP-15-02	NO_BP_15_02	NO_BP_15_02
NA	29433_ID656_FI-BP-20-01_mapped_initial_q10_FM_clean_markdup.g	FI-BP-20-01	NA	NA	NA
NA	29434_ID656_FR-BP-04-10_mapped_initial_q10_FM_clean_markdup.g	FR-BP-04-10	FR-BP-04-10	FR_BP_04_10	FR_BP_04_10
NA	29435_ID656_DE-BP-10-12_mapped_initial_q10_FM_clean_markdup.g	DE-BP-10-12	DE-BP-10-12	DE_BP_10_12	DE_BP_10_12
NA	29436_ID656_DE-BP-09-06_mapped_initial_q10_FM_clean_markdup.g	DE-BP-09-06	DE-BP-09-06	DE_BP_09_06	DE_BP_09_06
NA	29437_ID656_CH-BP-06-12_mapped_initial_q10_FM_clean_markdup.g	CH-BP-06-12	CH-BP-06-12	CH_BP_06_12	CH_BP_06_12
NA	29438_ID656_LT-BP-11-08_mapped_initial_q10_FM_clean_markdup.g	LT-BP-11-08	NA	NA	NA
NA	29439_ID656_SE-BP-18-20_mapped_initial_q10_FM_clean_markdup.g	SE-BP-18-20	SE-BP-18-20	SE_BP_18_20	SE_BP_18_20
NA	29440_ID656_FR-BP-03-04_mapped_initial_q10_FM_clean_markdup.g	FR-BP-03-04	FR-BP-03-04	FR_BP_03_04	FR_BP_03_04
NA	29441_ID656_NO-BP-16-11_mapped_initial_q10_FM_clean_markdup.g	NO-BP-16-11	NO-BP-16-11	NO_BP_16_11	NO_BP_16_11
NA	29442_ID656_ES-BP-02-25_mapped_initial_q10_FM_clean_markdup.g	ES-BP-02-25	ES-BP-02-25	ES_BP_02_25	ES_BP_02_25
NA	29443_ID656_SE-BP-18-18_mapped_initial_q10_FM_clean_markdup.g	SE-BP-18-18	SE-BP-18-18	SE_BP_18_18	SE_BP_18_18
NA	29444_ID656_SE-BP-18-06_mapped_initial_q10_FM_clean_markdup.g	SE-BP-18-06	SE-BP-18-06	SE_BP_18_06	SE_BP_18_06
NA	29445_ID656_ES-BP-02-16_mapped_initial_q10_FM_clean_markdup.g	ES-BP-02-16	ES-BP-02-16	ES_BP_02_16	ES_BP_02_16
NA	29446_ID656_IT-BP-07-11_mapped_initial_q10_FM_clean_markdup.g	IT-BP-07-11	IT-BP-07-11	IT_BP_07_11	IT_BP_07_11
NA	29447_ID656_SE-BP-17-05_mapped_initial_q10_FM_clean_markdup.g	SE-BP-17-05	SE-BP-17-05	SE_BP_17_05	SE_BP_17_05
NA	29448_ID656_YT-243_mapped_initial_q10_FM_clean_markdup.g	YT-243	YT-243	RU_BP_23_07	RU_BP_23_07
NA	29449_ID656_LT-BP-11-10_mapped_initial_q10_FM_clean_markdup.g	LT-BP-11-10	LT-BP-11-10	LT_BP_11_10	LT_BP_11_10
NA	29450_ID656_NO-BP-16-17_mapped_initial_q10_FM_clean_markdup.g	NO-BP-16-17	NO-BP-16-17	NO_BP_16_17	NO_BP_16_17
NA	29451_ID656_ES-BP-01-15_mapped_initial_q10_FM_clean_markdup.g	ES-BP-01-15	NA	NA	NA
