fastq.file.sample.name	raw_snps_file.original.sample.name	raw_snps.file.change.name	v2_kept	v2_newnames	v5.1_kept
NA	30956	ES_FS_01_01	ES_FS_01_01	ES_FS_01_01	ES_FS_01_01
NA	30957	ES_FS_01_02	ES_FS_01_02	ES_FS_01_02	ES_FS_01_02
NA	30958	ES_FS_01_03	ES_FS_01_03	ES_FS_01_03	ES_FS_01_03
NA	30959	ES_FS_01_04	ES_FS_01_04	ES_FS_01_04	ES_FS_01_04
NA	30960	ES_FS_01_05	ES_FS_01_05	ES_FS_01_05	ES_FS_01_05
NA	30961	ES_FS_01_06	ES_FS_01_06	ES_FS_01_06	ES_FS_01_06
NA	30962	ES_FS_01_07	ES_FS_01_07	ES_FS_01_07	ES_FS_01_07
NA	30963	ES_FS_01_08	ES_FS_01_08	ES_FS_01_08	ES_FS_01_08
NA	30964	ES_FS_01_09	ES_FS_01_09	ES_FS_01_09	ES_FS_01_09
NA	30965	ES_FS_01_10	ES_FS_01_10	ES_FS_01_10	ES_FS_01_10
NA	30966	ES_FS_01_11	ES_FS_01_11	ES_FS_01_11	ES_FS_01_11
NA	30967	ES_FS_01_12	ES_FS_01_12	ES_FS_01_12	ES_FS_01_12
NA	30968	ES_FS_01_13	ES_FS_01_13	ES_FS_01_13	ES_FS_01_13
NA	30969	ES_FS_01_14	ES_FS_01_14	ES_FS_01_14	ES_FS_01_14
NA	30970	ES_FS_01_15	ES_FS_01_15	ES_FS_01_15	ES_FS_01_15
NA	30971	ES_FS_01_16	ES_FS_01_16	ES_FS_01_16	ES_FS_01_16
NA	30972	ES_FS_01_17	ES_FS_01_17	ES_FS_01_17	ES_FS_01_17
NA	30973	ES_FS_01_18	ES_FS_01_18	ES_FS_01_18	ES_FS_01_18
NA	30974	ES_FS_01_19	ES_FS_01_19	ES_FS_01_19	ES_FS_01_19
NA	30975	ES_FS_01_20	ES_FS_01_20	ES_FS_01_20	ES_FS_01_20
NA	30976	ES_FS_01_21	ES_FS_01_21	ES_FS_01_21	ES_FS_01_21
NA	30977	ES_FS_01_22	ES_FS_01_22	ES_FS_01_22	ES_FS_01_22
NA	30978	ES_FS_01_23	ES_FS_01_23	ES_FS_01_23	ES_FS_01_23
NA	30979	ES_FS_01_24	ES_FS_01_24	ES_FS_01_24	ES_FS_01_24
NA	30980	ES_FS_01_25	ES_FS_01_25	ES_FS_01_25	ES_FS_01_25
NA	30981	ES_FS_02_01	ES_FS_02_01	ES_FS_02_01	ES_FS_02_01
NA	30982	ES_FS_02_02	ES_FS_02_02	ES_FS_02_02	ES_FS_02_02
NA	30983	ES_FS_02_03	ES_FS_02_03	ES_FS_02_03	ES_FS_02_03
