fastq.file.sample.name	raw_snps_file.original.name	raw_snps.file.change.name	v2_kept	v2_newnames	v5.1_kept
NA	AT_PA_05_01	AT_PA_05_01	AT_PA_05_01	AT_PA_05_01	AT_PA_05_01
NA	AT_PA_05_02	AT_PA_05_02	AT_PA_05_02	AT_PA_05_02	AT_PA_05_02
NA	AT_PA_05_04	AT_PA_05_04	AT_PA_05_04	AT_PA_05_04	AT_PA_05_04
NA	AT_PA_05_05	AT_PA_05_05	AT_PA_05_05	AT_PA_05_05	AT_PA_05_05
NA	AT_PA_05_06	AT_PA_05_06	AT_PA_05_06	AT_PA_05_06	AT_PA_05_06
NA	AT_PA_05_07	AT_PA_05_07	AT_PA_05_07	AT_PA_05_07	AT_PA_05_07
NA	AT_PA_05_08	AT_PA_05_08	AT_PA_05_08	AT_PA_05_08	AT_PA_05_08
NA	AT_PA_05_09	AT_PA_05_09	AT_PA_05_09	AT_PA_05_09	AT_PA_05_09
NA	AT_PA_05_10	AT_PA_05_10	AT_PA_05_10	AT_PA_05_10	AT_PA_05_10
NA	AT_PA_05_11	AT_PA_05_11	AT_PA_05_11	AT_PA_05_11	AT_PA_05_11
NA	AT_PA_05_12	AT_PA_05_12	NA	NA	NA
NA	AT_PA_05_13	AT_PA_05_13	AT_PA_05_13	AT_PA_05_13	AT_PA_05_13
NA	AT_PA_05_14	AT_PA_05_14	AT_PA_05_14	AT_PA_05_14	AT_PA_05_14
NA	AT_PA_05_15	AT_PA_05_15	AT_PA_05_15	AT_PA_05_15	AT_PA_05_15
NA	AT_PA_05_16	AT_PA_05_16	AT_PA_05_16	AT_PA_05_16	AT_PA_05_16
NA	AT_PA_05_17	AT_PA_05_17	AT_PA_05_17	AT_PA_05_17	AT_PA_05_17
NA	AT_PA_05_18	AT_PA_05_18	AT_PA_05_18	AT_PA_05_18	AT_PA_05_18
NA	AT_PA_05_19	AT_PA_05_19	AT_PA_05_19	AT_PA_05_19	AT_PA_05_19
NA	AT_PA_05_20	AT_PA_05_20	AT_PA_05_20	AT_PA_05_20	NA
NA	AT_PA_05_21	AT_PA_05_21	AT_PA_05_21	AT_PA_05_21	AT_PA_05_21
NA	AT_PA_05_22	AT_PA_05_22	AT_PA_05_22	AT_PA_05_22	AT_PA_05_22
NA	AT_PA_05_23	AT_PA_05_23	AT_PA_05_23	AT_PA_05_23	AT_PA_05_23
NA	AT_PA_05_24	AT_PA_05_24	AT_PA_05_24	AT_PA_05_24	AT_PA_05_24
NA	AT_PA_05_25	AT_PA_05_25	AT_PA_05_25	AT_PA_05_25	AT_PA_05_25
NA	AT_PA_06_1	AT_PA_06_1	AT_PA_06_1	AT_PA_06_01	AT_PA_06_01
NA	AT_PA_06_10	AT_PA_06_10	AT_PA_06_10	AT_PA_06_10	AT_PA_06_10
NA	AT_PA_06_11	AT_PA_06_11	AT_PA_06_11	AT_PA_06_11	AT_PA_06_11
NA	AT_PA_06_12	AT_PA_06_12	AT_PA_06_12	AT_PA_06_12	NA
