fastq.file.sample.name	raw_snps_file.original.name	raw_snps.file.change.name	v2_kept	v2_newnames	v5.1_kept
NA	BH_PO_24_02	BH_PO_24_02	BH_PO_24_02	BA_PO_24_02	BA_PO_24_02
NA	BH_PO_24_04	BH_PO_24_04	BH_PO_24_04	BA_PO_24_04	BA_PO_24_04
NA	BH_PO_24_05	BH_PO_24_05	BH_PO_24_05	BA_PO_24_05	BA_PO_24_05
NA	BH_PO_24_07	BH_PO_24_07	BH_PO_24_07	BA_PO_24_07	BA_PO_24_07
NA	BH_PO_24_08	BH_PO_24_08	BH_PO_24_08	BA_PO_24_08	BA_PO_24_08
NA	BH_PO_24_09	BH_PO_24_09	BH_PO_24_09	BA_PO_24_09	BA_PO_24_09
NA	BH_PO_24_10	BH_PO_24_10	BH_PO_24_10	BA_PO_24_10	BA_PO_24_10
NA	BH_PO_24_11	BH_PO_24_11	BH_PO_24_11	BA_PO_24_11	BA_PO_24_11
NA	BH_PO_24_12	BH_PO_24_12	BH_PO_24_12	BA_PO_24_12	BA_PO_24_12
NA	BH_PO_24_14	BH_PO_24_14	NA	NA	NA
NA	BH_PO_24_15	BH_PO_24_15	BH_PO_24_15	BA_PO_24_15	BA_PO_24_15
NA	BH_PO_24_16	BH_PO_24_16	BH_PO_24_16	BA_PO_24_16	BA_PO_24_16
NA	BH_PO_24_17	BH_PO_24_17	BH_PO_24_17	BA_PO_24_17	BA_PO_24_17
NA	BH_PO_24_18	BH_PO_24_18	BH_PO_24_18	BA_PO_24_18	BA_PO_24_18
NA	BH_PO_24_19	BH_PO_24_19	BH_PO_24_19	BA_PO_24_19	BA_PO_24_19
NA	BH_PO_24_20	BH_PO_24_20	BH_PO_24_20	BA_PO_24_20	BA_PO_24_20
NA	BH_PO_24_21	BH_PO_24_21	BH_PO_24_21	BA_PO_24_21	BA_PO_24_21
NA	BH_PO_24_28	BH_PO_24_28	BH_PO_24_28	BA_PO_24_28	BA_PO_24_28
