fastq.file.sample.name	raw_snps_file.original.name	raw_snps.file.change.name	v2_kept	v2_newnames	v5.1_kept
NA	ARZ-29-01b5	ARZ-29-01b5	NA	NA	NA
NA	ARZ-29-02b5	ARZ-29-02b5	NA	NA	NA
NA	ARZ-29-04b5	ARZ-29-04b5	NA	NA	NA
NA	ARZ-29-05b5	ARZ-29-05b5	NA	NA	NA
NA	ARZ-29-06b5	ARZ-29-06b5	NA	NA	NA
NA	ARZ-29-07b5	ARZ-29-07b5	NA	NA	NA
NA	ARZ-29-08b5	ARZ-29-08b5	NA	NA	NA
NA	ARZ-29-09b5	ARZ-29-09b5	NA	NA	NA
NA	ARZ-29-11b5	ARZ-29-11b5	NA	NA	NA
NA	ARZ-29-12b5	ARZ-29-12b5	NA	NA	NA
NA	ARZ-29-13b5	ARZ-29-13b5	NA	NA	NA
NA	ARZ-29-14b5	ARZ-29-14b5	NA	NA	NA
NA	AUL-10-01b2	AUL-10-01b2	NA	NA	NA
NA	AUL-10-01b4	AUL-10-01b4	NA	NA	NA
NA	AUL-10-01b5	AUL-10-01b5	NA	NA	NA
NA	AUL-10-02b2	AUL-10-02b2	NA	NA	NA
NA	AUL-10-02b4	AUL-10-02b4	NA	NA	NA
NA	AUL-10-02b5	AUL-10-02b5	NA	NA	NA
NA	AUL-10-05b2	AUL-10-05b2	NA	NA	NA
NA	AUL-10-05b4	AUL-10-05b4	NA	NA	NA
NA	AUL-10-05b5	AUL-10-05b5	NA	NA	NA
NA	AUL-10-06b2	AUL-10-06b2	NA	NA	NA
NA	AUL-10-06b4	AUL-10-06b4	NA	NA	NA
NA	AUL-10-06b5	AUL-10-06b5	NA	NA	NA
NA	AUL-10-07b2	AUL-10-07b2	NA	NA	NA
NA	AUL-10-07b4	AUL-10-07b4	NA	NA	NA
NA	AUL-10-07b5	AUL-10-07b5	NA	NA	NA
NA	AUL-10-08b2	AUL-10-08b2	NA	NA	NA
NA	AUL-10-08b4	AUL-10-08b4	NA	NA	NA
NA	AUL-10-08b5	AUL-10-08b5	NA	NA	NA
NA	AUL-10-09b2	AUL-10-09b2	NA	NA	NA
NA	AUL-10-09b4	AUL-10-09b4	NA	NA	NA
NA	AUL-10-09b5	AUL-10-09b5	NA	NA	NA
NA	AUL-10-11b2	AUL-10-11b2	NA	NA	NA
NA	AUL-10-11b4	AUL-10-11b4	NA	NA	NA
NA	AUL-10-11b5	AUL-10-11b5	NA	NA	NA
NA	AUL-10-12b2	AUL-10-12b2	NA	NA	NA
NA	AUL-10-12b4	AUL-10-12b4	NA	NA	NA
NA	AUL-10-12b5	AUL-10-12b5	NA	NA	NA
NA	AUL-10-14b2	AUL-10-14b2	NA	NA	NA
NA	AUL-10-14b4	AUL-10-14b4	NA	NA	NA
NA	AUL-10-14b5	AUL-10-14b5	NA	NA	NA
NA	AUL-10-16b2	AUL-10-16b2	NA	NA	NA
NA	AUL-10-16b4	AUL-10-16b4	NA	NA	NA
NA	AUL-10-16b5	AUL-10-16b5	NA	NA	NA
NA	AUL-10-18b2	AUL-10-18b2	NA	NA	NA
NA	AUL-10-18b4	AUL-10-18b4	NA	NA	NA
NA	AUL-10-18b5	AUL-10-18b5	NA	NA	NA
NA	AUL10-01	AUL10-01	NA	NA	NA
NA	BAV-33-01b2	BAV-33-01b2	NA	NA	NA
NA	BAV-33-01b3	BAV-33-01b3	NA	NA	NA
NA	BAV-33-01b4	BAV-33-01b4	NA	NA	NA
NA	BAV-33-02b2	BAV-33-02b2	NA	NA	NA
NA	BAV-33-02b3	BAV-33-02b3	NA	NA	NA
NA	BAV-33-02b4	BAV-33-02b4	NA	NA	NA
NA	BAV-33-03b2	BAV-33-03b2	NA	NA	NA
NA	BAV-33-03b3	BAV-33-03b3	NA	NA	NA
NA	BAV-33-03b4	BAV-33-03b4	NA	NA	NA
NA	BAV-33-04b2	BAV-33-04b2	NA	NA	NA
NA	BAV-33-04b3	BAV-33-04b3	NA	NA	NA
NA	BAV-33-04b4	BAV-33-04b4	NA	NA	NA
NA	BAV-33-05b2	BAV-33-05b2	NA	NA	NA
NA	BAV-33-05b3	BAV-33-05b3	NA	NA	NA
NA	BAV-33-05b4	BAV-33-05b4	NA	NA	NA
NA	BAV-33-07b2	BAV-33-07b2	NA	NA	NA
NA	BAV-33-07b3	BAV-33-07b3	NA	NA	NA
NA	BAV-33-07b4	BAV-33-07b4	NA	NA	NA
NA	BAV-33-08b2	BAV-33-08b2	NA	NA	NA
NA	BAV-33-08b3	BAV-33-08b3	NA	NA	NA
NA	BAV-33-08b4	BAV-33-08b4	NA	NA	NA
NA	BAV-33-11b2	BAV-33-11b2	NA	NA	NA
NA	BAV-33-11b3	BAV-33-11b3	NA	NA	NA
