fastq.file.sample.name	raw_snps_file.original.name	raw_snps.file.change.name	v2_kept	v2_newnames	v5.1_kept
NA	37588_ID896_ES_PS_01_1_mapped_initial_q10_FM_clean_markdup_reduced.g	ES_PS_1_1	ES_PS_1_1	ES_PS_01_01	ES_PS_01_01
NA	37589_ID896_ES_PS_01_2_mapped_initial_q10_FM_clean_markdup_reduced.g	ES_PS_1_2	ES_PS_1_2	ES_PS_01_02	ES_PS_01_02
NA	37590_ID896_ES_PS_01_3_mapped_initial_q10_FM_clean_markdup_reduced.g	ES_PS_1_3	ES_PS_1_3	ES_PS_01_03	ES_PS_01_03
NA	37591_ID896_ES_PS_01_4_mapped_initial_q10_FM_clean_markdup_reduced.g	ES_PS_1_4	ES_PS_1_4	ES_PS_01_04	ES_PS_01_04
NA	37592_ID896_ES_PS_01_5_mapped_initial_q10_FM_clean_markdup_reduced.g	ES_PS_1_5	ES_PS_1_5	ES_PS_01_05	ES_PS_01_05
NA	37593_ID896_ES_PS_01_6_mapped_initial_q10_FM_clean_markdup_reduced.g	ES_PS_1_6	ES_PS_1_6	ES_PS_01_06	ES_PS_01_06
NA	37594_ID896_ES_PS_01_7_mapped_initial_q10_FM_clean_markdup_reduced.g	ES_PS_1_7	ES_PS_1_7	ES_PS_01_07	NA
NA	37595_ID896_ES_PS_01_8_mapped_initial_q10_FM_clean_markdup_reduced.g	ES_PS_1_8	ES_PS_1_8	ES_PS_01_08	NA
NA	37596_ID896_ES_PS_01_9_mapped_initial_q10_FM_clean_markdup_reduced.g	ES_PS_1_9	ES_PS_1_9	ES_PS_01_09	ES_PS_01_09
NA	37597_ID896_ES_PS_01_10_mapped_initial_q10_FM_clean_markdup_reduced.g	ES_PS_1_10	ES_PS_1_10	ES_PS_01_10	ES_PS_01_10
NA	37598_ID896_ES_PS_01_11_mapped_initial_q10_FM_clean_markdup_reduced.g	ES_PS_1_11	ES_PS_1_11	ES_PS_01_11	ES_PS_01_11
NA	37599_ID896_ES_PS_01_12_mapped_initial_q10_FM_clean_markdup_reduced.g	ES_PS_1_12	ES_PS_1_12	ES_PS_01_12	NA
NA	37600_ID896_ES_PS_01_13_mapped_initial_q10_FM_clean_markdup_reduced.g	ES_PS_1_13	ES_PS_1_13	ES_PS_01_13	ES_PS_01_13
NA	37601_ID896_ES_PS_01_14_mapped_initial_q10_FM_clean_markdup_reduced.g	ES_PS_1_14	ES_PS_1_14	ES_PS_01_14	ES_PS_01_14
