fastq.file.sample.name	raw_snps_file.original.name	raw_snps.file.change.name	v2_kept	v2_newnames	v5.1_kept
NA	37876	FR_QP_03_01	FR_QP_03_01	FR_QP_03_01	FR_QP_03_01
NA	37877	FR_QP_03_02	FR_QP_03_02	FR_QP_03_02	FR_QP_03_02
NA	37878	FR_QP_03_03	FR_QP_03_03	FR_QP_03_03	NA
NA	37879	FR_QP_03_04	FR_QP_03_04	FR_QP_03_04	FR_QP_03_04
NA	37880	FR_QP_03_05	FR_QP_03_05	FR_QP_03_05	FR_QP_03_05
NA	37881	FR_QP_03_06	FR_QP_03_06	FR_QP_03_06	FR_QP_03_06
NA	37882	FR_QP_03_07	FR_QP_03_07	FR_QP_03_07	NA
NA	37883	FR_QP_03_08	FR_QP_03_08	FR_QP_03_08	FR_QP_03_08
NA	37884	FR_QP_03_09	FR_QP_03_09	FR_QP_03_09	NA
NA	37885	FR_QP_03_10	FR_QP_03_10	FR_QP_03_10	FR_QP_03_10
NA	37886	FR_QP_03_11	FR_QP_03_11	FR_QP_03_11	FR_QP_03_11
NA	37887	FR_QP_03_12	FR_QP_03_12	FR_QP_03_12	FR_QP_03_12
NA	37888	FR_QP_03_13	FR_QP_03_13	FR_QP_03_13	NA
NA	37889	FR_QP_03_14	FR_QP_03_14	FR_QP_03_14	FR_QP_03_14
NA	37890	FR_QP_03_15	FR_QP_03_15	FR_QP_03_15	FR_QP_03_15
NA	37891	FR_QP_03_16	FR_QP_03_16	FR_QP_03_16	FR_QP_03_16
NA	37892	FR_QP_03_17	FR_QP_03_17	FR_QP_03_17	FR_QP_03_17
NA	37893	FR_QP_03_18	FR_QP_03_18	FR_QP_03_18	FR_QP_03_18
NA	37894	FR_QP_03_19	FR_QP_03_19	FR_QP_03_19	FR_QP_03_19
NA	37895	FR_QP_03_20	FR_QP_03_20	FR_QP_03_20	FR_QP_03_20
NA	37896	FR_QP_03_21	FR_QP_03_21	FR_QP_03_21	FR_QP_03_21
NA	37897	FR_QP_03_22	FR_QP_03_22	FR_QP_03_22	FR_QP_03_22
NA	37898	FR_QP_03_23	FR_QP_03_23	FR_QP_03_23	NA
NA	37899	FR_QP_03_24	FR_QP_03_24	FR_QP_03_24	FR_QP_03_24
NA	37900	FR_QP_03_25	FR_QP_03_25	FR_QP_03_25	FR_QP_03_25
